45321;periodicidade;ano;mes;justica;seq_orgao;tribunal;dsc_tribunal;uf;uf_sede;idporte;porte;acap;acr;acs;aqv;as;asen;ca;cc;ccb;cd;ce;ced;cee;cer;cg;cge;cpc;cpp;crag;crd;del;dimp;dlp;dmt;dob;dpa;dpb;dpl;drs;dvd;ftt;ga;gaed;gaer;gc;gcd;gcgraf;gci;gcm;gconst;gcv;gee;glb;gml;gmv;gpp;grcm;gref;grl;grmv;grtf;grtm;grv;gtf;gtm;gv;gve;km;ltf;ltm;magp;mcont;mtotal;nt;pas;pcap;pcs;pqv;qei;qi;qpv;qvm;qvs;serv;tfaux;tfauxa;tfauxc;tfauxe;tfauxjl;tfauxsp;tfauxt;tfauxv;tpefet;tpi;tpsv;upload;valt;vd;vgef;tmr;qve;qip;cre;gre;cra;gra;uvs;uvm;prqv;pras;prcap;cpt;cpt.ftt;ced.ftt;qi.ftt;lt.ftt
TRE-SP_SP_Mensal_10_2021;Mensal;2021;10;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;1068;10;10;0;0;228;238961,2;236;0;678;0;700;;;0;0;0;12;0;0;0;0;0;0;0;29324,59;162,75;1097,44;0;10,8;0;0;0;0;0;226022,78;0;0;0;9087,29;;0;;;39,52750813;81,47288372;;72967,78;35033,34;0;0;0;1846;430;;0;153859;0;0;0;;0;0;253984;0;0;0;;0;0;;;;;;;;;;0;0;0;0;690;0;;;;;;;;;;;700;;;;
TRE-SP_SP_Mensal_11_2021;Mensal;2021;11;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;1842;1144;1144;0;0;0;238745,9;370;0;552;0;2255;;;0;0;0;15;0;0;0;0;0;0;0;41474,41;0;1720,5;0;2921,26;0;0;0;0;0;224592,44;0;0;0;29274,25;;0;;;40,24134345;81,60172093;;74285,52;35088,74;0;0;0;1846;430;;0;153859;0;0;0;;0;0;283157;0;0;0;;0;0;;;;;;;;;;0;0;0;0;567;0;;;;;;;;;;;2255;;;;
TRE-SP_SP_Mensal_12_2021;Mensal;2021;12;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;1290;0;0;0;0;480;273099,2;309;0;1098;0;20;;;0;0;0;15;0;0;0;0;0;0;0;35058,12;441,6;1436,85;0;0;0;0;0;0;0;260584,64;0;0;0;259,64;;0;;;42,32312026;81,22665116;;78128,48;34927,46;0;0;0;1846;430;;0;153859;0;0;0;;0;0;222410;0;0;0;;0;0;;;;;;;;;;0;0;0;0;1113;0;;;;;;;;;;;20;;;;
TRE-SP_SP_Anual_0_2022;Anual;2022;0;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;12;135;41;9;9;32;27310;6697;;5240,12;17680,06;16056;3487147,1;6402;8653,28;85620;0;31183;446,3277966;582,2355556;151530,9;3356;0;223;0;0;165161;0;420;0;6351;712028,95;19572;42472,65;158170,2;0;0;280735,32;1795609,5;0;41323,01;2977818,63;4668095,52;2486942,49;277136,01;176300;26406,02206;913244,07;;4075,529559;;;77550,60813;972195,41;435166,86;2481619,46;420118,39;223961;1846;515;400;0;170946;0;2628;1455;0,303703704;3725;2176;10350531;32;14;54;4096;1855;0;;186;;;1669;;2174;1921;1;1;0;9;59;85843;68;1629,748229;20,39911493;17,41964498;0,159758052;4,165227323;110,2037037;28,57142857;0,06516909;0,045977011;0,019091482;31183;4,909935443;2,52810581;1629,748229;0,37175248
TRE-SP_SP_Mensal_1_2022;Mensal;2022;1;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;1159;0;0;0;0;0;216329;320;0;576;0;0;;;0;0;0;8;0;0;0;0;0;0;0;42056,43;0;1436,85;0;0;0;0;0;0;0;206194,49;0;0;0;0;;0;;;38,94638678;81,23402326;;71895,03;34930,63;0;0;0;1846;430;;0;170946;;0;0;;0;0;186112;0;0;0;;0;0;;;;;;;;;;0;0;0;0;584;0;;;;;;;;;;;0;;;;
TRE-SP_SP_Mensal_2_2022;Mensal;2022;2;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;1023;524;524;0;0;20;238486,2;105;0;486;0;218;;;0;0;0;10;0;0;0;0;0;0;0;38554,14;0;1488;0;0;0;0;0;0;0;226337,43;0;0;0;0;;0;;;41,15131636;81,22197674;;75965,33;34925,45;0;0;0;1846;430;;0;170946;0;0;0;;0;0;210072;0;0;0;;0;0;;;;;;;;;;0;0;0;0;496;0;;;;;;;;;;;218;;;;
TRE-SP_SP_Mensal_3_2022;Mensal;2022;3;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;1319;1805;1805;0;0;204;282132,5;432;0;23875;0;3348;;;0;0;0;10;0;0;0;0;0;0;0;37819,59;0;2008,8;0;0;0;0;0;0;0;265025,09;0;0;0;0;;0;;;41,6084182;81,19411628;;76809,14;34913,47;0;0;0;1846;430;;0;170946;0;0;0;;0;0;297819;0;0;0;;0;0;;;;;;;;;;0;0;0;0;23885;0;;;;;;;;;;;3348;;;;
TRE-SP_SP_Mensal_4_2022;Mensal;2022;4;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;1854;403;403;0;0;0;302801;438;0;996;0;517;;;0;0;0;20;0;0;0;0;0;0;0;48603,69;0;2008,8;0;0;0;0;0;0;0;275513,74;0;0;0;0;;0;;;45,01638678;81,23902326;;83100,25;34932,78;0;0;0;1846;430;;0;170946;0;0;0;;0;0;698449;0;0;0;;0;0;;;;;;;;;;0;0;0;0;1016;0;;;;;;;;;;;517;;;;
TRE-SP_SP_Mensal_5_2022;Mensal;2022;5;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;2238;679;679;0;0;1080;315743,4;534;0;1662;0;1835;;;0;0;0;15;0;0;0;0;0;0;0;49348,73;1104;2036,7;0;0;0;0;0;0;0;258374,38;0;0;0;0;;0;;;46,84229686;81,24746512;;86470,88;34936,41;0;0;0;1846;430;;0;170946;0;0;0;;0;0;825230;0;0;0;;0;0;;;;;;;;;;0;0;0;0;1677;0;;;;;;;;;;;1835;;;;
TRE-SP_SP_Mensal_6_2022;Mensal;2022;6;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;1865;383;383;0;0;2832;253371,9;366;0;1674;0;1725;;;0;0;0;20;0;0;0;0;0;0;0;66985,97;8016;3604,5;0;0;0;0;0;0;0;203770,38;0;0;0;0;;0;;;46,62200975;81,15639535;;86064,23;34897,25;0;0;0;1846;430;;0;170946;0;0;0;;0;0;437004;0;0;0;;0;0;;;;;;;;;;0;0;0;0;1694;0;;;;;;;;;;;1725;;;;
