chave;periodicidade;ano;mes;justica;seq_orgao;tribunal;dsc_tribunal;uf;uf_sede;idporte;porte;acap;acr;acs;aqv;as;asen;ca;cc;cd;ce;ced;cee;cer;cg;cge;cpc;cpp;crag;crd;del;dimp;dlp;dmt;dob;dpa;dpb;dpl;drs;dvd;ftt;ga;gaed;gaer;gc;gcd;gcgraf;gci;gcm;gconst;gcv;gee;glb;gml;gmv;gpp;grcm;gref;grl;grmv;grtf;grtm;grv;gtf;gtm;gv;gve;km;ltf;ltm;magp;mcont;mtotal;nt;pas;pcap;pcs;pqv;qei;qi;qpv;qvm;qvs;serv;tfaux;tfauxa;tfauxc;tfauxe;tfauxjl;tfauxsp;tfauxt;tfauxv;tpefet;tpi;tpsv;upload;valt;vd;vgef;tmr;qve;qip;cre;gre;cra;gra;uvs;uvm;prqv;pras;prcap;cpt;cpt.ftt;ced.ftt;qi.ftt;lt.ftt
TRF1_SJRR_RR_Anual_0_2021;Anual;2021;0;Federal;12056;TRF1_SJRR;TRF 1ª Região;RR;DF;;;0;0;0;0;0;1;0;175;280;106;3732;470775;1000;188;0;0;222;73,5;140;0;0;0;2;0;495;0;5;0;47;192;782,76;2521;6500;0;0;0;18000;0;113407,29;0;288073,4;465965,88;0;2089,68;3311,4;0;118718,7;78,78950839;348,28;28,97934783;1122,909;49149,228;2666,1;11229,09;245746,14;0;5225;92;10;5;5914,06;5914,06;0;0;25;;0;75;0;5;1;5;116;71;0;12;20;0;0;39;0;98;18;0;1;0;2;4;549;6;0;79,60267566;48,70992178;0;0,132355776;37,4;5;;;;222;1,15625;19,4375;0;0,53125
TRF1_SJRO_RO_Anual_0_2021;Anual;2021;0;Federal;12057;TRF1_SJRO;TRF 1ª Região;RO;DF;;;1;60;16;4;1;0;2708;1286;3490;0;0;1154205;1211;194;0;0;327;38,8;436,25;0;0;650;0;0;1342;0;175;0;0;448;39995,47;0;7141,38;19316,09;2163,96;0;0;0;0;0;741885,36;617752,42;10047,72;18939,01;5422,02;0;72814,13;36,82586546;1456,846923;217,9155738;820,8027778;81713,51;26585,7;14774,45;980562,12;144130,66;22081;122;18;14;16774,96;16774,96;1;7;4;0,266666667;47;186;146964;12;4;9;244;190;0;0;90;0;0;100;0;207;37;0;1;0;8;5;1517;13;328,0446429;68,80523113;44,2257603;0,161431085;2,384236386;48,22222222;3,5;0,026227679;0,015625;0,008928571;327;0,729910714;0;328,0446429;0,3125
TRF1_SJPI_PI_Anual_0_2021;Anual;2021;0;Federal;12058;TRF1_SJPI;TRF 1ª Região;PI;DF;;;0;13;0;4;0;0;0;0;5119,26;0;0;0;0;3334,47;0;0;0;185,2483333;639,9075;0;0;0;0;0;0;0;0;0;0;536;0;0;0;48029,53;0;0;0;0;0;0;0;633234,93;0;39875,63;0;0;633234,93;20,69156499;1533,678077;;;63141,96923;0;942,54;820845,6;0;57647;0;0;28;30603,53;30603,56;1;0;0;0;119;450;0;13;6;20;374;134;0;34;48;0;0;44;8;322;51;1;1;0;8;18;0;26;0;0;0;0;0;25,4;4,666666667;0,055503731;;;0;0;0;0;0
TRF1_SJPA_PA_Anual_0_2021;Anual;2021;0;Federal;12059;TRF1_SJPA;TRF 1ª Região;PA;DF;;;0;32;13;2;1;0;326;103400;9432;0;805;1582267;2975;924;3172;0;1198;102,6666667;786;0;0;3000;20;0;2931;85;221;0;0;743;15468;1887;19606;51303;5573;0;0;0;0;0;1439706,22;1345763,96;0;48151;20366;0;913179,71;112,1469967;2292,904762;122,7286237;243,536;59612,23102;57068,81;2435,36;2920999,32;0;74413;465;10;34;12000;52698;1;40;0;0,40625;239;443;89330;49;3;18;502;207;0;0;43;0;0;164;0;461;40;1;0;0;12;9;6344;21;120,2288022;30,02518122;27,31994042;0,006186193;0,293521576;39,38888889;11,33333333;0,160834455;0,053835801;;1198;1,612382234;1,083445491;120,2288022;0,639300135
TRF1_SJMG_MG_Anual_0_2021;Anual;2021;0;Federal;12060;TRF1_SJMG;TRF 1ª Região;MG;DF;;;9;64;14;20;21;1;24890,56;277;1741;2911;50;3721087,26;866,68;7411;1211,2;0;3720;88,22222222;435,25;185;1857;115;10;135;5093,95;3,2;740;70,6;0;2897;299514,34;770,32;2809,58;66345,49;750,53;0;172932,48;0;0;0;3282333,86;6785875,48;126257,03;44070,01;53070,26;0;1270392,85;58,34347138;364,2149587;154,5672688;485,848125;119726,2079;287495,12;23320,71;12571251,83;0;72090,76;1860;48;157;116309,08;116309,08;1;1088;57;0,21875;563;1302;43339,92;105;91;30;1919;821;0;82;436;0;0;225;78;1774;138;7;1;0;4;117;7055,15;121;14,96027615;31,9930934;28,22078775;0,214003584;2,575158706;91,33333333;1,725274725;0,009716949;0,017883854;0,00218617;3720;1,284086987;0,017259234;14,96027615;0,658612358
TRF1_SJMT_MT_Anual_0_2021;Anual;2021;0;Federal;12061;TRF1_SJMT;TRF 1ª Região;MT;DF;;;0;0;0;21;23;0;5900;486;3641;1197;0;1118395;2599;542;0;0;507;102,2941176;455,125;0;0;0;0;80;5141;45;101;0;0;618;112015,92;0;20059;0;3013,1;0;0;0;0;0;853293,96;15652,89;0;30241;12164,94;0;913931,06;0,389753492;1209,64;175,3834803;152,6269307;80036,46552;75590,28;15415,32;2321057,5;0;35924;431;101;27;40161;54333;0;145;0;;364;208;106509;29;9;16;408;183;0;8;59;0;0;116;0;381;24;3;1;0;8;17;5242;25;172,3446602;20,58408334;15,70489316;0,108589623;2,061655348;36,9375;3;0,028047465;0,01020121;;507;0,82038835;0;172,3446602;0,860841424
TRF1_SJMA_MA_Anual_0_2021;Anual;2021;0;Federal;12062;TRF1_SJMA;TRF 1ª Região;MA;DF;;;1;31;17;1;0;0;349;1912;1993,97;0;9388;1195372,25;0;5882,25;0;0;1089;226,2403846;249,24625;0;184;0;73;0;1459;0;176;0;0;834;2167,89;0;0;7876,22;0;0;0;0;0;0;1088526,1;1503995,35;0;50681;0;0;285185,99;28,80975409;1490,617647;396,4268531;653,8754545;55380,70481;113378,08;7192,63;2990558,06;1060398,68;75336;286;11;36;52204,38;43073,26;1;0;6;0,548387097;98;263;0;54;13;21;460;338;0;19;103;0;0;196;20;402;57;1;1;0;8;26;1708;34;0;27,75207286;25,27150487;0,008102475;0,050330298;38;2,769230769;0,117505995;;0,007194245;1089;1,305755396;11,25659472;0;0,356115108
TRF1_SJGO_GO_Anual_0_2021;Anual;2021;0;Federal;12063;TRF1_SJGO;TRF 1ª Região;GO;DF;;;1;25;22;8;1;0;6634;2548;4880,86;0;5960;1725172,08;3487;2285,58;216,5;0;1817;114,279;406,7383333;0;78,4;0;91;0;1953,8;0;390;0;3;1133;125910,41;4903,74;32843,66;38090,48;6806,31;0;0;0;85892,83;0;1532519,73;2546971,42;0;12205,37;21092,06;0;164244,63;84,43258544;381,4178125;147,0661367;911,2675758;58663,58058;92504,6;30071,83;4047787,06;0;41532;629;33;42;30165,74;28729,28;1;286;1;0,88;2125;545;508606;69;10;22;608;483;0;135;97;0;0;218;33;542;64;2;1;0;12;20;2654,3;32;448,90203;60,04926263;53,3434785;0,230914245;4,382651079;49,59090909;4,2;0,234443954;0,252427184;0,000882613;1817;1,603706973;5,260370697;448,90203;0,584289497
TRF1_SJTO_TO_Anual_0_2021;Anual;2021;0;Federal;12064;TRF1_SJTO;TRF 1ª Região;TO;DF;;;6;11;3;9;3;3;4186;821;346;0;0;656436;175;298;16,2;0;329;59,6;69,2;0;0;0;0;0;0;0;0;16,2;0;388;84358,61;0;1583,75;3479,24;3668,55;0;0;0;0;0;689794,66;2326601,47;0;5711,87;6470,22;0;0;202,2076716;571,187;107,5191824;2368,3725;143186,0717;17095,55;18946,98;1718232,86;0;4875;159;8;14;11506;11506;0;556;214;0,272727273;409;75;0;12;2;8;238;136;0;2;46;0;0;86;2;212;26;0;1;0;5;5;16,2;10;0;57,05162524;59,95086564;0,363810186;7,331706066;46,75;7;0,117124857;0,47766323;0,091924399;329;0,847938144;0;0;0,430412371
TRF5_SJAL_AL_Anual_0_2021;Anual;2021;0;Federal;12152;TRF5_SJAL;TRF 5ª Região;AL;PE;;;1;21;8;5;2;1;1234;1825;713,79;0;0;655376;2474;17459,74;100;0;480;563,2174194;356,895;0;0;0;615;0;810;0;20;0;0;642;24326,86;0;10789,81;117805,83;1713;0;46999,07;0;1403376,36;0;714644,79;1261256,66;44777,07;69604,22;0;0;56158,14;19,82813652;2109,218788;1,6704;189,6368333;57179,74054;1002,24;11378,21;2115650,4;0;167596;600;60;23;63609,44;52290,22;0;197;12;0,380952381;214;53;285036;37;18;14;379;240;0;40;72;0;0;128;0;311;65;3;1;0;2;31;1545;33;443,9813084;12,53343359;13,66689201;0,023599059;0,465227723;44,21428571;1,277777778;0,066666667;0,153426791;0,018691589;480;0,747663551;0;443,9813084;1,028037383
TRF5_SJSE_SE_Anual_0_2021;Anual;2021;0;Federal;12153;TRF5_SJSE;TRF 5ª Região;SE;PE;;;1;61;30;12;0;0;5679;1003;2225;0;0;750033;1091;2469;0;0;328;205,75;556,25;0;0;0;0;75000;1122,11;0;405,6;0;0;339;148338,02;425,13;4794,64;27182,91;3029,75;0;0;0;0;0;612098;999477,89;26042,32;38267,44;4392,33;0;678642,79;19,23137248;2391,715;12,27119149;946,9431111;53547,90179;2883,73;42612,44;1499341,25;0;41126;235;45;15;51971,22;52027,98;0;0;8;0,491803279;2377;178;16738;28;1;15;274;50;0;0;2;0;0;48;0;203;71;0;1;0;4;12;1527,71;16;49,37463127;14,41595465;11,76478503;0,109152806;2,851120109;21,6;15;0,584316618;;0,02359882;328;0,967551622;0;49,37463127;0,825958702
TRF5_SJPE_PE_Anual_0_2021;Anual;2021;0;Federal;12154;TRF5_SJPE;TRF 5ª Região;PE;PE;;;0;39;18;10;7;2;16527;1867;2924,14;0;0;3142269;1828;6084,34;0;0;626;190,135625;487,3566667;0;0;0;0;0;460;0;0;0;0;1337;190509,44;0;6319,33;50828,25;0;14010,6;158736,55;0;15770;0;2757571,61;2419466,24;58047;73816,92;0;0;15728,2;7,723479796;1942,550526;148,3049466;431,3727907;63264,65167;125021,07;55647,09;4175467,01;0;66244,27;843;129;61;313261,16;160221,52;1;20;2;0,461538462;417;187;459243;66;8;30;876;400;0;13;106;0;0;263;18;692;180;4;1;0;6;32;460;38;343,4876589;19,6120284;17,21099394;0,103150938;1,189037777;42,53333333;7,625;0,03118923;0,00213698;;626;0,468212416;0;343,4876589;0,727000748
TRF5_SJCE_CE_Anual_0_2021;Anual;2021;0;Federal;12155;TRF5_SJCE;TRF 5ª Região;CE;PE;;;1;52;0;26;4;1;10854,88;592;1292,48;0;0;2313749,85;3315;2360,19;1220;0;351;107,2813636;215,4133333;0;0;2987;0;60;700;0;0;0;0;1229;271463,13;0;14888,25;20872,71;14500;43600;0;0;0;0;1943439,83;2993148,82;77412,5;24802,57;0;0;706251,53;32,65955736;885,8060714;1090,481237;2578,65268;55797,10291;202829,51;250129,31;3068840,66;0;23574;186;97;60;91646,95;68690,84;0;0;3;0;1096;266;25385;55;2;26;962;207;0;21;38;0;6;121;21;791;163;8;1;0;6;22;1920;28;20,65500407;33,68352826;28,29256172;0,158025146;3,951955312;44,96153846;30;0,034299305;0;0,002441009;351;0,285598047;0;20,65500407;0,230268511
TRF5_SJRN_RN_Anual_0_2021;Anual;2021;0;Federal;12156;TRF5_SJRN;TRF 5ª Região;RN;PE;;;2;89;62;38;12;2;2933;465;3921,45;40,41;0;1283512,88;2556;12734,49;2198;0;195;638,745;980,3625;27,5;0;0;1976,61;0;21830,83;0;281,79;0;1488,56;681;37574,88;0;8867,76;100640,06;0;1407,37;89187,38;0;0;0;1108314,26;914145,68;75454,83;76914,04;0;0;343442,85;17,66815372;3204,751667;147,749526;1788,299925;103311,0636;65453,04;239632,19;2272843,4;236489,3;127981;443;134;28;51739,74;49506;1;1475;37;0,696629213;9354;147;142176;22;10;14;468;185;0;0;69;0;0;116;0;362;105;1;1;0;4;20;27775,79;24;208,7753304;25,92641054;22,38747344;0,059245344;0,758996485;46,64285714;2,8;0,361465337;0,180494371;0,027165932;195;0,286343612;0;208,7753304;0,847283407
TRF5_SJPB_PB_Anual_0_2021;Anual;2021;0;Federal;12157;TRF5_SJPB;TRF 5ª Região;PB;PE;;;1;127;66;14;4;3;5061;2368;1616;1064;0;1350775;3086;2347;0;0;691;243,6428571;538,6666667;220;0;350;7980;67500;9078;0;141;29,631;63;706;122496,01;0;20016,4;27399,71;20300;600;186624;0;385836,86;0;1189722,82;2670312,44;0;37715,21;14422,35;0;3232949,8;58,04396131;2218,541765;132,4697232;724,46;49254,68743;38283,75;68823,7;1723914,06;0;35186;289;95;29;46005;46005;0;189;4;0,519685039;180;210;169499;35;1;16;461;216;0;44;66;0;0;106;0;391;68;2;1;0;3;14;17262;17;240,0835694;29,36148245;25,86072862;0,110009782;2,662667319;42,3125;29;0,018211251;0,066926346;0,005665722;691;0,978753541;0;240,0835694;0,543909348
TRF2_SJES_ES_Anual_0_2021;Anual;2021;0;Federal;12314;TRF2_SJES;TRF 2ª Região;ES;RJ;;;3;131;47;4;1;1;4376;143;734;0;0;1292453;0;2835;0;0;406;123,2608696;367;0;0;0;0;0;0;0;0;0;0;726;67191,74;0;0;22855,95;234,6;0;0;0;0;0;1274482,76;1609040,98;0;25354,77;5445,59;0;60901,15;32,71608086;1014,1908;110,7609836;729,515625;65901,65881;67564,2;58361,25;2767869,67;192384,27;22282;610;80;40;49181,96;24666;1;82;17;0,358778626;990;250;117027;42;4;21;522;164;0;0;67;0;0;97;0;466;55;1;0;0;2;23;0;25;161,1942149;52,39815941;51,66961648;0,1774102;2,724063083;32,66666667;10;0,340909091;0,112947658;0,007805326;406;0,55922865;0;161,1942149;0,950413223
TRF3_SJSP_SP_Anual_0_2021;Anual;2021;0;Federal;12440;TRF3_SJSP;TRF 3ª Região;SP;SP;;;12;152;70;51;1;2;35356;9805;8102,39;1566;0;7062206;8434;7039,24;8956;6725,5;305;86,92161616;540,1593333;0;133;0;380;163684,3;10863,385;0;60;431,16;0;5324;1128312,26;0;94377,57;83347,61;13790,49;0;1085315,64;0;0;0;5752639,4;10848960,22;0;54858,88;4548,91;0;3409893,59;35,93179994;481,2182456;21,62999073;889,6283333;59968,86752;140032,56;96079,86;28065430;2107483,57;130250;6474;108;343;301932;243311;1;86;459;0,460526316;793;684;3413134;468;1;113;4198;783;0;0;266;0;0;517;0;4068;126;4;1;0;15;99;20259,385;114;641,0845229;29,02542836;23,64315382;0,145311967;4,637325316;44,07964602;343;0,002920552;0,016153268;0,007184448;7030,5;1,320529677;0;641,0845229;1,236288505
TRF3_SJMS_MS_Anual_0_2021;Anual;2021;0;Federal;12539;TRF3_SJMS;TRF 3ª Região;MS;SP;;;0;16;11;11;0;0;5543;409;1578,02;32,24;0;954555,92;0;1190;73;0;1427;135,8044444;225,4314286;0;0;0;0;0;0;0;0;0;0;553;153059,01;0;0;17946,91;1045,5;0;240369,32;0;638577,27;0;802197,52;2872795,36;0;18414,88;25029,38;0;570866,06;107,9998256;1150,93;468,72225;915,7060526;64234,2052;37497,78;34796,83;3211710,26;0;27254;80;38;31;26600;26600;1;0;0;0,6875;484;216;304335;50;2;14;305;217;0;11;69;0;0;137;0;289;16;0;1;0;7;9;73;16;550,3345389;35,8855609;30,1578015;0,208383459;5,75409812;37,28571429;15,5;0,079566004;;;1427;2,580470163;0;550,3345389;0,213381555
TRF_BR_Anual_0_2021;Anual;2021;0;Federal;999991;TRF;Justiça Federal;BR;BR;;;73;1875;889;488;121;68;327348,83;146246;88433,05;24338,13;32188;68740618,15;69859,68;193371,33;38753,9;10431,5;26879;204,8066416;374,7163136;14107,6;4817,74;22074;15088,56;4145679,06;101451,345;3596,04;6712,48;7327,461;6604,99;45201;7089122,96;20649,17;468984,6;1691677,81;111606,13;177482,51;2475420,81;0;2642860,61;50522,88;65102543,57;90813275,04;984016,87;1990208,64;319140,92;;26811693,08;40,00723842;1532,108268;85,52651508;659,6392653;64022,19551;2266196,07;2191133,27;139696430,6;6182063,11;2331936,42;26497;3321;2123;2269921,11;2047997,52;17;5361;3207;0,473812754;39117;11886;8293325,92;2182;549;748;29638;13440;7;774;5040;0;6;7294;319;27177;2303;158;29;0;236;1063;168611,275;1299;226,0809072;33,81746554;32,02768732;0,16127634;3,521733384;57,59090909;3,717668488;0,014209547;0,00757359;0,006696819;37310,5;0,830358534;1,577920486;226,0809072;0,663610264
TJMRS_RS_Anual_0_2021;Anual;2021;0;Militar Estadual;12645;TJMRS;TJM - Rio Grae do Sul;RS;RS;;;1;12;0;5;2;1;438,26;39;0;0;986;117653;0;1426;0;0;38;178,25;;0;0;0;2,65;0;101,1;0;72,57;0;0;119;8648,81;0;0;7436,24;0;0;0;0;0;0;96880,72;447941;0;0;0;0;2097,5;109,9241718;0;2158,435833;638,924;38915,71429;25901,23;19167,72;272410;0;8329;12;30;14;4075;5326;0;159;2;0;430;52;26289;7;2;6;85;20;0;;5;;;15;;32;33;20;1;0;0;8;176,32;8;220,9159664;22,09031168;18,19014645;0,082286894;1,623884716;17,5;7;0,722689076;0,668067227;0,016806723;38;0,319327731;8,285714286;220,9159664;0,352941176
TJMSP_SP_Anual_0_2021;Anual;2021;0;Militar Estadual;13384;TJMSP;TJM - São Paulo;SP;SP;;;0;19;0;2;0;5;1223;859;328,53;17622,8;2112;300282;0;5658;0;0;633;1293,377778;164,265;18,3;5;300;43;5000;1125,57;3;197,36;58;35,4;237;47559,77;1816,32;0;110211,56;12267;1722,9;21875,07;0;0;0;197778,44;393214,08;0;60428,98;9964,8;0;419774,53;35,574779;3021,449;215,4717143;1368,6015;;7541,51;27372,03;0;0;219107;35;20;14;11053,17;6857;0;0;0;0;202;77;316500;0;7;13;193;30;0;;17;;;13;;192;0;1;1;0;2;18;1401,33;20;1335,443038;43,79203733;28,84329007;0,178357882;6,935944291;17,15384615;2;0,426160338;;;633;2,670886076;8,911392405;1335,443038;0,232067511
TJMMG_MG_Anual_0_2021;Anual;2021;0;Militar Estadual;13389;TJMMG;TJM - Minas Gerais;MG;MG;;;0;29;0;7;0;5;855;75;0;0;1044;172963;390;9090,6;0;0;239;757,55;;0;0;0;0;0;0;0;0;0;0;208;16200;552;1875,9;29517,8;254,4;14590;7312,92;101783,82;0;0;116443,6;631370,69;0;40533,27;3704,5;8481,985;379976,65;79,72889025;3377,7725;827,56;537,2166667;;827,56;3223,3;0;28608;68336;1;6;12;7918,97;7622;0;0;0;0;952;25;119500;0;10;2;108;88;7;;36;;;45;;73;0;35;1;0;0;12;0;12;574,5192308;22,69260037;15,27730255;0,112175282;2,125426397;98;1,2;0,653846154;;;239;1,149038462;5,019230769;574,5192308;0,033653846
TJM_BR_Anual_0_2021;Anual;2021;0;Militar Estadual;999991;TJM;Justiça Militar Estadual;BR;BR;;;1;60;0;14;2;11;2516,26;973;328,53;17622,8;4142;590898;390;16174,6;0;0;910;889,4052632;164,265;18,3;5;300;45,65;5000;1226,67;3;269,93;58;35,4;564;72408,58;2368,32;1875,9;147165,6;12521,4;16312,9;29187,99;101783,82;0;0;411102,76;1472525,77;0;100962,25;13669,3;8481,985;801848,68;63,89190893;3155,070313;713,9645833;888,6258929;38915,71429;34270,3;49763,05;272410;28608;295772;48;56;40;23047,14;19805;0;159;2;;1584;154;462289;7;19;21;386;138;7;0;58;0;0;73;0;297;33;56;3;0;2;38;1577,65;40;819,6613475;29,83579904;20,75752386;0,127051755;3,656075738;24,95238095;2,105263158;0,627326733;0,668067227;0,016806723;910;1,613475177;7,343971631;819,6613475;0,184397163
PJ_BR_Anual_0_2021;Anual;2021;0;Poder Judiciário;999999;PJ;Poder Judiciário;BR;BR;;;1023;14132;5707;3193,165;1024;1053;3575307,28;395309;2507316,686;593895,383;1418723;608401485,3;705285,64;4517812,148;1782988,777;44558,24;833725;593,005514;1211,2641;455334,54;43532,3;329070;98742,54;18791241,61;1317967,092;70125,969;77028,622;80780,08;18880,24;414702;66310887,28;1243843,91;4587238,83;38392888,02;787475,58;7405919,04;56846401,32;175332004,7;365006298,8;8007441,59;472108648,6;831419252,9;19757023,05;30239322,52;10056187;16340,35459;329545327,2;41,49131796;2818,203404;211,7693113;706,4743035;28354,74556;31048557,58;15016111,32;968768236,7;67795448,77;74028129,37;146615;21255;21086;20038391,01;20853617,9;75;211334;157211;0,403835267;1086085;114055;387162089,9;34166;3011;7637;268625;124991;757;774;56749;0;6;66386;319;225513;21304;21808;112;40;2070;8620;3295607,271;10730;933,5910845;29,17486492;22,6391723;0,171447818;3,179826522;51,54065733;7,00298904;0,000820175;0,000497661;0,000370571;878283,24;2,117865937;3,421066211;933,5910845;0,404796697
CNJ_DF_Anual_0_2021;Anual;2021;0;Superiores/Conselhos;1;CNJ;Conselho Nacional de Justiça;DF;DF;;;3;68;57;14;3;17;4062;1950;720,53;0;12600;1466091;1237;22299,51;6268,65;0;392;586,8292105;240,1766667;0;171;0;0;0;0;41,41;0;0;0;1102;113204,79;8779,5;8160,75;146810,65;4893;26856,24;210138,8;3297730,38;0;0;1316596,76;1510901,52;105733,1;57245,74;5013,68;80432,44829;144663,73;38,08911569;1396,237561;71,90714769;449,1342222;106143,5213;63781,64;20211,04;4776458,46;6243,33;188389;887;45;32;39667,54;38388,38;1;25;50;0,838235294;422;57;270306;45;29;12;354;716;0;0;67;0;0;649;0;265;73;16;1;0;3;38;6268,65;41;245,2867514;38,19100988;34,2967523;0,10581327;2,948933766;89,16666667;1,103448276;0,027352865;0,007562008;0,015124017;392;0,355716878;11,43375681;245,2867514;0,845735027
CJF_DF_Anual_0_2021;Anual;2021;0;Superiores/Conselhos;2;CJF;Conselho da Justiça Federal;DF;DF;;;3;54;42;26;1;3;721;8;612,5;0;0;461524;1144;2173,5;0;0;75;127,8529412;87,5;0;0;470;0;90;1910;0,37;0;0;0;375;19894,74;0;7711,2;42790,75;11,08;385390,64;220857,29;536719,24;0;0;375170,24;1203699,73;59482,52;23951,54;1029,71;22363,30167;1223409,73;;997,9808333;;;83204,80962;588,03;0;2163325,05;64899,84;53028;0;0;0;0;45400;1;30;46;0,777777778;229;38;62497;26;9;24;203;172;0;0;0;0;0;172;0;183;7;13;0;0;7;17;1910;24;166,6586667;10,16572687;8,263661674;0,015881057;0,438210132;15,625;0;0,023487179;0,08;0,040888889;75;0,2;0;166,6586667;0
STJ_DF_Anual_0_2021;Anual;2021;0;Superiores/Conselhos;12728;STJ;Superior Tribunal de Justiça;DF;DF;;;24;512;242;30;5;86;41820;20;12184;1854;19284;8341081;18541;86560,188;16369;0;3558;749,2727797;420,137931;154;113;0;0;120;0;200;0;583;0;4467;1233108,87;15620,04;118938,94;567226,71;41,44;124988,13;1671782,46;2043023,07;0;148423,77;6640873,17;8608457,16;635138,09;1279553,5;46645,65;13898,11612;116699,21;59,38324968;8704,445578;26,78562879;1896,690602;119106,3995;92651,49;472275,96;41329920,63;516127,41;776656;3459;249;33;144964,4;144066;1;94;737;0,47265625;956;610;2134426;347;37;110;2851;1583;0;;213;;;1370;;2588;188;75;1;0;29;118;16369;147;477,8209089;57,89763719;46,09604744;0,29028362;8,559333014;40,30909091;0,891891892;0,007133796;0,004208641;0,006874487;3558;0,796507723;4,316991269;477,8209089;0,830087307
TSE_DF_Anual_0_2021;Anual;2021;0;Superiores/Conselhos;12991;TSE;Tribunal Superior Eleitoral;DF;DF;;;36;189;161;15;9;17;4938;2085;4220,98;57,33;0;4720484;0;23530,8;0;0;1919;760,9074194;468,9977778;315624;156;2099;213,5;35;6039,4;119,4;303,3;23;111,9;2286;135424,06;0;0;158600,66;2978,3;0;0;2536216,59;0;0;4638189,75;4486627,45;210503,55;138635,74;25472,67;63405,41475;75401,15;29,6947432;3465,8935;41,28628837;2340,527692;80986,73339;102224,85;30426,86;18869908,88;80605,63;260835;2476;13;14;151091,64;111635;1;72;400;0,851851852;1323;570;0;233;8;32;862;1410;8;;36;;;1366;;783;64;15;1;0;9;31;6668,1;40;0;42,28498231;41,54780983;0,044233439;1,213096789;71;1,75;0,038582677;0,003499563;0,004860504;1919;0,839457568;0;0;1,0888014
TST_DF_Anual_0_2021;Anual;2021;0;Superiores/Conselhos;13221;TST;Tribunal Superior do Trabalho;DF;DF;;;1;205;24;45;3;0;11045;7175;25584,067;0;1233;5515290;1239;35512,743;0;67;1309;696,3282941;1705,604467;0;41;0;0;36800;11696;0;0;146;0;3213;324519,04;1982,64;10546,34;354901,77;16435,28;56940,42;300599,91;1303887,48;0;33209,92;4902900,41;5983771,44;2343,21;300778,68;18374;19755,87091;0;62,33354973;4557,252727;20,56350655;1916,0973;56321,79397;48673,82;454115,06;10081601,12;152329,25;330776;2367;237;27;95996;141000;1;459;34;0,117073171;1788;592;955394;179;31;35;2193;993;0;;123;;;870;;1895;262;36;1;0;15;51;11696;66;297,3526299;39,11553191;34,77234333;0,078333333;2,301553475;91,02857143;0,870967742;0,012366428;0,047619048;0,010582011;1376;0,428260193;0,383753501;297,3526299;0,810457516
STM_DF_Anual_0_2021;Anual;2021;0;Superiores/Conselhos;13309;STM;Superior Tribunal Militar;DF;DF;;;3;169;7;26;3;5;6084;1862;2567;2412;9720;1064278;0;24691,08;0;0;1274;732,5156757;366,7142857;0;209,3;3500;0;1,00E+05;0;4146;0;231,86;0;885;185323,54;6362,93;0;175206,57;5609,08;210183,03;320874,62;370648,8;0;10753,39;906709,84;2517363,72;203384,88;82129,89;16383,84;8423,836364;3787341,88;71,36792633;1866,588409;247,6432;2497,0891;86560,00645;173350,24;526885,8;2683360,2;0;219689;700;211;16;35273,04;69563;0;12;80;0,041420118;2651;198;839454;31;17;27;583;286;0;;46;;;240;;547;4;32;1;0;7;37;0;44;948,5355932;15,29948392;13,03436942;0,087460288;2,664110806;32,18518519;0,941176471;0,115210778;0,004519774;0,030131827;1274;1,439548023;10,98305085;948,5355932;1,029378531
Sup/Con_BR_Anual_0_2021;Anual;2021;0;Superiores/Conselhos;999991;Sup/Con;Tribunal Superior / Conselho;BR;BR;;;70;1197;533;156;24;128;68670;13100;45889,077;4323,33;42837;21568748;22161;194767,821;22637,65;67;8527;681,8190103;655,5582429;315778;690,3;6069;213,5;137045;19645,4;4507,18;303,3;983,86;111,9;12328;2011475,04;32745,11;145357,23;1445537,11;29968,18;804358,46;2724253,08;10088225,56;0;192387,08;18780440,17;24310821,02;1216585,35;1882295,09;112919,55;27868,02641;5347515,7;49,48069905;5199,710193;48,60775003;1991,940026;92804,38367;481270,07;1503914,72;79904574,34;820205,46;1829373;9889;755;122;466992,62;550052,38;5;692;1347;0,445279866;7369;2065;4262077;861;131;240;7046;5160;8;0;485;0;0;4667;0;6261;598;187;5;0;70;292;42911,75;362;424,4251145;39,21217103;34,1430032;0,124842656;3,656879078;50,85833333;1;0,020408615;0,011751919;0,006741641;8594;0,697112265;4,431260991;424,4251145;0,890487744
TRT1_RJ_Anual_0_2021;Anual;2021;0;Trabalho;13197;TRT1;TRT 01ª Região;RJ;RJ;1;Grae;9;90;0;122;2;0;78774,9;5;5707;0;0;5854729,73;0;26038;9;0;54929;302,7674419;219,5;0;1099;1034;0;29;0;0;0;11;0;4675;945730,43;0;0;197764,01;15;48935,8;8070,15;0;0;0;6986525,17;7283844,17;308592,76;122045,27;20557;0;907581,16;64,21593104;1089,689911;1490,604333;377,0072222;59575,60457;626053,82;27144,52;9770399,15;505813,44;294624;420;72;299;113427,37;144180;1;10;263;0;2732;1707;2035948;164;51;61;3646;730;0;;127;;;603;;3564;41;41;0;0;26;86;9;112;435,4968984;40,60708649;48,4569647;0,54636496;6,559373214;71,73770492;5,862745098;0,004790041;0,001069519;0,006250743;54929;11,74951872;0;435,4968984;0,105240642
